package,license_url,license
filippo.io/edwards25519,https://github.com/FiloSottile/edwards25519/blob/v1.1.0/LICENSE,BSD-3-Clause
github.com/PixelCores/Eruun,https://github.com/PixelCores/Eruun/blob/HEAD/LICENSE,MIT
github.com/alibabacloud-go/darabonba-openapi/client,https://github.com/alibabacloud-go/darabonba-openapi/blob/master/LICENSE,Apache-2.0
github.com/alibabacloud-go/debug/debug,https://github.com/alibabacloud-go/debug/blob/v1.0.1/LICENSE,Apache-2.0
github.com/alibabacloud-go/endpoint-util/service,https://github.com/alibabacloud-go/endpoint-util/blob/master/LICENSE,Apache-2.0
github.com/alibabacloud-go/nas-20170626/v2/client,https://github.com/alibabacloud-go/nas-20170626/blob/master/LICENSE,Apache-2.0
github.com/alibabacloud-go/openapi-util/service,https://github.com/alibabacloud-go/openapi-util/blob/v0.1.0/LICENSE,Apache-2.0
github.com/alibabacloud-go/tea,https://github.com/alibabacloud-go/tea/blob/v1.3.13/LICENSE,Apache-2.0
github.com/alibabacloud-go/tea-utils/service,https://github.com/alibabacloud-go/tea-utils/blob/master/LICENSE,Apache-2.0
github.com/alicebob/gopher-json,https://github.com/alicebob/gopher-json/blob/906a9b012302/LICENSE,Unlicense
github.com/alicebob/miniredis/v2,https://github.com/alicebob/miniredis/blob/v2.34.0/LICENSE,MIT
github.com/alicebob/miniredis/v2/fpconv,https://github.com/alicebob/miniredis/blob/v2.34.0/fpconv/LICENSE.txt,BSL-1.0
github.com/alicebob/miniredis/v2/geohash,https://github.com/alicebob/miniredis/blob/v2.34.0/geohash/LICENSE,MIT
github.com/alicebob/miniredis/v2/hyperloglog,https://github.com/alicebob/miniredis/blob/v2.34.0/hyperloglog/LICENSE,MIT
github.com/alicebob/miniredis/v2/metro,https://github.com/alicebob/miniredis/blob/v2.34.0/metro/LICENSE,MIT
github.com/aliyun/credentials-go,https://github.com/aliyun/credentials-go/blob/v1.4.12/LICENSE,Apache-2.0
github.com/barnettZQG/inject,https://github.com/barnettZQG/inject/blob/v0.0.1/license,MIT
github.com/beorn7/perks/quantile,https://github.com/beorn7/perks/blob/v1.0.1/LICENSE,MIT
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt,MIT
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE,ISC
